Time,CPU(%),RAM(MB)
2025-12-11 21:16:37,0.0,44.1
2025-12-11 21:16:42,0.0,44.1
2025-12-11 21:16:47,0.0,44.1
2025-12-11 21:16:52,0.0,44.1
2025-12-11 21:16:58,0.0,44.1
2025-12-11 21:17:03,0.0,44.1
2025-12-11 21:17:08,0.0,44.1
2025-12-11 21:17:13,0.0,44.1
2025-12-11 21:17:18,0.0,44.1
2025-12-11 21:17:23,0.0,44.1
2025-12-11 21:17:28,0.0,44.1
2025-12-11 21:17:33,0.0,44.1
2025-12-11 21:17:38,0.0,44.1
2025-12-11 21:17:44,0.0,44.1
2025-12-11 21:17:49,0.0,44.1
2025-12-11 21:17:54,16.6,44.1
2025-12-11 21:17:59,0.0,44.1
2025-12-11 21:18:04,0.0,44.1
2025-12-11 21:18:09,0.0,44.1
2025-12-11 21:18:14,0.0,44.1
2025-12-11 21:18:19,0.0,44.1
2025-12-11 21:18:24,0.0,44.1
2025-12-11 21:18:30,0.0,44.1
2025-12-11 21:18:35,0.0,44.1
2025-12-11 21:18:40,0.0,44.1
2025-12-11 21:18:45,0.0,44.1
2025-12-11 21:18:50,0.0,44.1
2025-12-11 21:18:55,0.0,44.1
2025-12-11 21:19:00,0.0,44.1
2025-12-11 21:19:05,0.0,44.1
2025-12-11 21:19:10,0.0,44.1
2025-12-11 21:19:16,16.6,44.1
2025-12-11 21:19:21,0.0,44.1
2025-12-11 21:19:26,0.0,44.1
2025-12-11 21:19:31,0.0,44.1
2025-12-11 21:19:36,0.0,44.1
2025-12-11 21:19:41,0.0,44.1
2025-12-11 21:19:46,0.0,44.1
2025-12-11 21:19:51,0.0,44.1
2025-12-11 21:19:57,0.0,44.1
2025-12-11 21:20:02,0.0,44.1
2025-12-11 21:20:07,0.0,44.1
2025-12-11 21:20:12,0.0,44.1
2025-12-11 21:20:17,0.0,44.1
2025-12-11 21:20:22,0.0,44.1
2025-12-11 21:20:27,0.0,44.1
2025-12-11 21:20:32,0.0,44.1
2025-12-11 21:20:37,0.0,44.1
2025-12-11 21:20:43,0.0,44.1
2025-12-11 21:20:48,0.0,44.1
2025-12-11 21:20:53,0.0,44.1
2025-12-11 21:20:58,0.0,44.1
2025-12-11 21:21:03,0.0,44.1
2025-12-11 21:21:08,16.6,44.1
2025-12-11 21:21:13,0.0,44.1
2025-12-11 21:21:18,0.0,44.1
2025-12-11 21:21:23,0.0,44.1
2025-12-11 21:21:29,0.0,44.1
2025-12-11 21:21:34,0.0,44.1
2025-12-11 21:21:39,0.0,44.1
2025-12-11 21:21:44,0.0,44.1
2025-12-11 21:21:49,0.0,44.1
2025-12-11 21:21:54,0.0,44.1
2025-12-11 21:21:59,0.0,44.1
2025-12-11 21:22:04,0.0,44.1
2025-12-11 21:22:09,0.0,44.1
2025-12-11 21:22:15,0.0,44.1
2025-12-11 21:22:20,0.0,44.1
2025-12-11 21:22:25,0.0,44.1
2025-12-11 21:22:30,0.0,44.1
2025-12-11 21:22:35,0.0,44.1
2025-12-11 21:22:40,0.0,44.1
2025-12-11 21:22:45,0.0,44.1
2025-12-11 21:22:50,0.0,44.1
2025-12-11 21:22:55,0.0,44.1
2025-12-11 21:23:01,0.0,44.1
2025-12-11 21:23:06,0.0,44.1
2025-12-11 21:23:11,0.0,44.1
2025-12-11 21:23:16,0.0,44.1
2025-12-11 21:23:21,0.0,44.1
2025-12-11 21:23:26,0.0,44.1
2025-12-11 21:23:31,0.0,44.1
2025-12-11 21:23:36,0.0,44.1
2025-12-11 21:23:41,0.0,44.1
2025-12-11 21:23:47,0.0,44.1
2025-12-11 21:23:52,0.0,44.1
2025-12-11 21:23:57,0.0,44.1
2025-12-11 21:24:02,0.0,44.1
2025-12-11 21:24:07,0.0,44.1
2025-12-11 21:24:12,0.0,44.1
2025-12-11 21:24:17,0.0,44.1
2025-12-11 21:24:22,0.0,44.1
2025-12-11 21:24:27,0.0,44.1
2025-12-11 21:24:33,0.0,44.1
2025-12-11 21:24:38,0.0,44.1
2025-12-11 21:24:43,0.0,44.1
2025-12-11 21:24:48,0.0,44.1
2025-12-11 21:24:53,0.0,44.1
2025-12-11 21:24:58,0.0,44.1
2025-12-11 21:25:03,0.0,44.1
2025-12-11 21:25:08,0.0,31.4
2025-12-11 21:25:14,0.0,31.5
